1.96	-0.37945	3.84159
1.97	-0.388683	3.88089
1.98	-0.397877	3.92039
1.99	-0.407032	3.96009
2	-0.416145	3.99999
2.01	-0.425218	4.04009
2.02	-0.434247	4.08039
2.03	-0.443233	4.12089
2.04	-0.452175	4.16159
2.05	-0.461071	4.20249
2.06	-0.469922	4.24359
2.07	-0.478725	4.28489
2.08	-0.487481	4.32639
2.09	-0.496188	4.36809
2.1	-0.504845	4.40999
2.11	-0.513452	4.45209
2.12	-0.522007	4.49439
2.13	-0.53051	4.53689
2.14	-0.53896	4.57959
2.15	-0.547356	4.62249
2.16	-0.555698	4.66559
2.17	-0.563984	4.70889
2.18	-0.572213	4.75239
2.19	-0.580386	4.79609
2.2	-0.5885	4.83999
2.21	-0.596555	4.88409
2.22	-0.604551	4.92839
2.23	-0.612486	4.97289
2.24	-0.62036	5.01759
2.25	-0.628172	5.06249
2.26	-0.635922	5.10759
2.27	-0.643607	5.15289
2.28	-0.651228	5.19839
2.29	-0.658785	5.24409
2.3	-0.666275	5.28999
2.31	-0.673698	5.33609
2.32	-0.681055	5.38239
2.33	-0.688343	5.42889
2.34	-0.695562	5.47559
2.35	-0.702712	5.52249
2.36	-0.709791	5.56959
2.37	-0.7168	5.61689
2.38	-0.723737	5.66439
2.39	-0.730601	5.71209
2.4	-0.737392	5.75999
2.41	-0.74411	5.80809
2.42	-0.750753	5.85639
2.43	-0.757322	5.90489
2.44	-0.763814	5.95359
2.45	-0.77023	6.00249
2.46	-0.776569	6.05159
2.47	-0.78283	6.10089
2.48	-0.789014	6.15039
2.49	-0.795118	6.20009
2.5	-0.801142	6.24999
2.51	-0.807087	6.30009
2.52	-0.812951	6.35039
2.53	-0.818734	6.40089
2.54	-0.824434	6.45159
2.55	-0.830052	6.50249
2.56	-0.835588	6.55359
2.57	-0.841039	6.60489
2.58	-0.846407	6.65639
2.59	-0.85169	6.70809
2.6	-0.856888	6.75999
2.61	-0.862	6.81209
2.62	-0.867026	6.86439
2.63	-0.871965	6.91689
2.64	-0.876817	6.96959
